id,group_id,message,voice,per,message_group
1,"100,000",名勝負になる舞台は整いましたね,1000101,100,0
2,"100,001",バ場が乾いているので\n足元が滑るかもしれませんね,1000201,100,0
3,"100,002",このくらいのバ場のほうが\n合っているウマ娘もいますからね,1000301,100,0
4,"100,003",このくらい引き締まったバ場ですと\nスピードに乗りやすいですよ,1000401,100,0
5,"100,004",天気、もってくれるといいですね,1000501,100,0
6,"100,005",日本のコースは水はけが良いですからね,1000601,100,0
7,"100,006",雨が本格化したら\n難しいレースになってしまいそうですね,1000701,100,0
8,"100,007",スピードは出しやすいですが\n脚への負担が心配です,1000801,100,0
9,"100,008",ここまで重たいバ場だと\n得意、不得意が出てきちゃいますね,1000901,100,0
10,"100,009",かなり苦労するバ場ですね\nコース取りにも注意です,1001001,100,0
11,"100,010",こんなに荒れていると\nレース展開が読みにくいですよ,1001101,100,0
12,"100,011",これは相当走りにくそうなバ場状態ですね,1001201,100,0
13,"100,012",雪がどれだけ影響するか、心配です,1001301,100,0
14,"100,013",雪も考慮して走らないといけないですね,1001401,100,0
15,"100,014",雪化粧と言えば聞こえはいいですが\n走る娘たちにすればやっかいですね,1001501,100,0
16,"100,015",この雪は敵か味方か\nウマ娘たちの適性が試されます,1001601,100,0
18,"100,016",気合充分！　いい顔してますね！,1001801,100,0
19,"100,016",火花散らすデッドヒートに期待しましょう,1001901,100,0
20,"100,016",私が一番期待しているウマ娘\n気合い入れてほしいですね！,1002001|1002002,100,0
22,"100,021",さすがスタートに定評のあるふたりですね,1002201,100,0
23,"100,022",このスタートの良さが彼女の強さですね,1002301,100,0
24,"100,022",完璧なスタートでしたね,1002401,100,0
25,"100,024",みんな出方をうかがったのかもしれませんね,1002501,100,0
26,"100,025",みんな集中してましたね\n好レースが期待できそうです,1002601,100,0
28,"100,027",出遅れた娘の巻き返しに期待しましょう,1002801,100,0
43,"100,043",%h_player\n軽やかな走りをしていますね,%h_player|1004001,100,0
44,"100,043",%h_player\n軽快にレースを運んでいますね,%h_player|1004101,100,0
